ID,RA,DEC,TYPE,FLUX_m400,FLUX_m425,FLUX_m450,FLUX_m475,FLUX_m500,FLUX_m525,FLUX_m550,FLUX_m575,FLUX_m600,FLUX_m625,FLUX_m650,FLUX_m675,FLUX_m700,FLUX_m725,FLUX_m800,FLUX_m825,FLUX_m850,FLUX_m875,ELL,Re,THETA
00061,310.86698376,-1.8467560826,STAR,,,,,,,,,,,,,,,,,,,0.0,2.984,11.044383320938794
00062,311.44420126,-1.4478744687,STAR,,,,,,,,,,,,,,,,,,,0.0,2.88,-32.65193730333944
00063,311.0524165,-1.9094388222,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9545000000000003,-4.2464830319807545
00064,310.97245879,-1.919652999,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9844999999999997,3.8314724891495087
00065,310.79703202,-1.8661291133,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0035,-6.867396816617879
00066,311.36046779,-1.8158449806,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9325,-3.7323449775730957
00067,311.46631193,-1.8115562675,STAR,,,,,,,,,,,,,,,,,,,0.0,2.964,-13.170276610229356
00068,311.0931084,-1.9266216731,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9635,-5.543620563836647
00069,310.91150644,-1.4672913415,STAR,,,,,,,,,,,,,,,,,,,0.0,2.906,28.598330270504576
00070,311.43869256,-1.4057118611,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8785,-17.407777043011514
00071,310.58733536,-1.6603320799,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1685,-49.9880909772437
00072,311.52515628,-1.4202979382,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9425,-37.64059838959061
00073,310.758609,-1.9904478787,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1365,12.421160392058123
00074,310.97387713,-1.6482089347,STAR,,,,,,,,,,,,,,,,,,,0.0,2.801,-25.18292053597626
00075,311.48927422,-1.7628554096,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9130000000000003,0.5319393098552733
00076,310.60535131,-1.7687998364,STAR,,,,,,,,,,,,,,,,,,,0.0,3.114,-9.796886485312003
00077,310.8953999,-1.4708345466,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9085,-7.465220896609186
00078,310.94948102,-1.9319594462,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9775,-12.819001310576525
00079,311.32775203,-1.847317841,STAR,,,,,,,,,,,,,,,,,,,0.0,2.933,26.089005120573876
00080,310.62424654,-1.4991778721,STAR,,,,,,,,,,,,,,,,,,,0.0,3.167,-24.743345962643286
00081,311.03533028,-1.5138921436,STAR,,,,,,,,,,,,,,,,,,,0.0,2.829,-38.55064253937672
00082,311.11331853,-1.8549823168,STAR,,,,,,,,,,,,,,,,,,,0.0,2.768,-3.648649896714518
00083,311.37150536,-1.8189378727,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9050000000000002,-22.204950257425487
00084,311.00425742,-1.7978592648,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8405,-4.327134664780121
00085,311.35204511,-1.8630652643,STAR,,,,,,,,,,,,,,,,,,,0.0,2.995,-11.402425507345157
00086,310.78347913,-1.3063912413,STAR,,,,,,,,,,,,,,,,,,,0.0,3.077,38.27354152455008
00087,310.78412083,-1.5016607386,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9505,-20.40406871714949
00088,310.99503151,-1.8894690668,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9130000000000003,-3.3673394087961266
00089,310.80762649,-1.9243080622,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0945,4.311030409087749
00090,311.65889664,-1.8273260047,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1384999999999996,-26.114722764041034
00091,311.53641714,-1.872149863,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0995,-21.713822504984492
00092,311.32628436,-1.8765831908,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9365,-9.818152002236042
00093,311.09041369,-1.4847662897,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8529999999999998,6.3796149129337065
00094,311.49548688,-1.4756888927,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9355,-27.297645691822314
00095,311.01311416,-1.9856955644,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0220000000000002,16.580304087366397
00096,311.40242834,-1.9508532456,STAR,,,,,,,,,,,,,,,,,,,0.0,3.027,-73.35836792427007
00097,311.50017488,-1.9310068263,STAR,,,,,,,,,,,,,,,,,,,0.0,3.146,-57.79374215211749
00098,311.29499041,-1.9787125449,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9385,-16.104550195150146
00099,310.98968325,-1.9412086901,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9695,-21.11361422749166
00100,311.54524546,-1.9622304374,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1045,-36.297241703958846
