RAJ2000,DEJ2000,objID,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
189.301811740,27.392976240,140871893018102096,436527104,52,0.0106,0.0111,56035.629502310,5,55,21.9323,0.1593,22.0841,0.3270,115000,21.1604,0.0270,21.2386,0.0564,115000,20.1589,0.0116,20.3507,0.0166,115000,19.7091,0.0168,19.7874,0.0419,115000,19.4191,0.0188,19.4946,0.0414,115000
189.303174800,27.408746310,140891893030861032,436527104,52,0.0163,0.0202,56091.267025460,5,44,21.2666,0.0435,21.3445,0.0722,115000,21.0803,0.0277,21.1328,0.0649,115000,20.9554,0.0250,21.0645,0.0538,115000,20.8474,0.0371,20.9752,0.1408,115000,20.3582,0.0573,20.6708,0.1656,115000
189.303949550,27.396763220,140871893040306802,444915712,53,0.0470,0.1058,56096.303437500,5,34,21.2718,0.1435,20.9195,0.1927,16892216,21.7192,0.0783,20.9347,0.0378,16892216,21.3207,0.0996,20.5503,0.0374,16892216,20.8684,0.0973,20.1299,0.0905,16892216,20.5752,0.1850,20.6914,0.3316,115000
189.298575840,27.427421990,140911892985523464,436527104,52,0.0255,0.0361,55917.047685190,5,25,21.8657,0.1734,21.1291,0.1863,16892216,21.5380,0.0266,21.5553,0.0548,115000,21.2550,0.0509,21.4534,0.0777,115000,20.9940,0.0286,21.0784,0.1069,115000,20.2031,0.1751,,,115000
189.326342180,27.415173380,140891893262608611,436527104,52,0.0195,0.0235,55949.364861110,5,54,21.5588,0.0440,21.4511,0.0920,115000,21.4044,0.0459,21.4105,0.0692,115000,21.2518,0.0359,21.2911,0.0798,115000,21.2075,0.0431,21.3841,0.1925,115000,,,,,114720
189.321045020,27.427044860,140911893211882999,444915712,53,0.0192,0.0319,56018.397083330,5,58,21.8081,0.0356,21.4398,0.1604,16892216,21.4393,0.0361,20.9987,0.0584,16892216,20.8904,0.0375,20.5300,0.0650,16892216,20.6794,0.0334,20.3676,0.0620,115000,,,,,114720
189.320575690,27.439794630,140921893204598318,436527232,52,0.0415,0.0448,55938.756898150,4,19,21.8986,0.1653,21.4663,0.2109,16892216,21.9265,0.0527,21.6237,0.1262,115000,21.5713,0.1312,21.0055,0.1882,115000,21.2463,0.0627,21.3096,0.1784,115000,,,,,16416
189.311691720,27.438074110,140921893116706165,444915712,53,0.0285,0.0396,56028.152662040,5,44,21.8774,0.1560,21.0288,0.1479,16892216,21.6408,0.0530,21.0153,0.0434,16892216,21.1127,0.0910,20.7124,0.0794,16892216,20.7258,0.1014,20.3693,0.1334,16892216,20.5970,0.1932,20.4518,0.2690,115000
189.318411820,27.414969850,140891893184448505,436527104,52,0.0060,0.0165,55931.587812500,5,90,19.5066,0.0112,19.5969,0.0194,115000,19.3250,0.0081,19.4289,0.0170,115000,19.2509,0.0089,19.3459,0.0132,115000,19.2520,0.0121,19.3747,0.0229,115000,19.2324,0.0130,19.2307,0.0466,115000
189.493155250,27.357397870,140821894934839744,436281344,52,0.1102,0.1102,56501.077430560,4,4,21.7419,0.1903,21.4463,0.2146,16892216,22.0790,0.1896,,,115000,21.7634,0.1909,21.6812,0.2673,115000,,,,,114720,,,,,16416
