RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g'mag,e_g'mag,r'mag,e_r'mag,i'mag,e_i'mag
10.652190,40.750401,0.616,1.105,20151767,4,14,0.811,0.087,16.229,0.069,17.039,0.053,16.663,0.024,16.148,0.089,16.031,0.000
10.617355,40.759672,0.615,0.717,20151767,9,43,0.750,0.121,15.500,0.105,16.249,0.060,15.861,0.057,15.236,0.074,14.993,0.106
10.642346,40.805345,0.221,0.245,20151767,10,50,0.689,0.083,13.987,0.063,14.676,0.054,14.286,0.053,13.782,0.067,13.626,0.037
10.674661,40.802091,1.000,0.569,20121873,2,8,1.049,0.000,16.474,0.000,17.523,0.000,16.920,0.000,16.091,0.105,15.639,0.010
10.687659,40.797212,0.583,0.661,20151767,9,45,0.578,0.099,15.201,0.055,15.779,0.083,15.446,0.056,15.026,0.074,14.917,0.070
10.712929,40.813674,0.726,0.711,20151767,9,35,1.281,0.213,15.712,0.071,16.993,0.200,16.400,0.081,15.233,0.086,14.731,0.114
10.675761,40.814998,0.705,1.071,20121873,4,13,0.805,0.066,15.950,0.011,16.755,0.065,16.364,0.119,15.883,0.061,15.708,0.000
10.650868,40.825649,0.755,0.950,20151767,8,33,0.744,0.158,15.924,0.117,16.669,0.107,16.236,0.072,15.743,0.107,15.496,0.094
10.675613,40.815149,0.943,0.948,20151767,6,21,0.577,0.241,16.028,0.138,16.606,0.198,16.281,0.062,15.783,0.142,15.817,0.132
10.598820,40.804841,0.204,0.193,20151767,10,50,0.776,0.084,13.269,0.058,14.044,0.061,13.614,0.054,13.046,0.070,12.837,0.041
10.602873,40.789986,0.188,0.145,20151767,10,50,0.457,0.070,13.024,0.050,13.481,0.049,13.209,0.056,12.922,0.064,12.848,0.042
10.611887,40.798576,1.046,0.772,20151767,8,34,0.720,0.245,15.977,0.035,16.697,0.243,16.276,0.080,15.818,0.054,15.506,0.175
10.575989,40.817068,1.012,1.012,20151767,3,8,0.526,0.293,15.885,0.043,16.411,0.289,16.175,0.148,15.797,0.000,15.474,0.122
10.589336,40.832894,0.403,0.416,20151767,10,49,0.623,0.088,14.738,0.057,15.362,0.067,15.005,0.055,14.569,0.076,14.425,0.060
